"Statistic","Month","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Mean Sale Price","2010M01","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","231521"
"Mean Sale Price","2010M02","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","207898"
"Mean Sale Price","2010M03","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","202190"
"Mean Sale Price","2010M04","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","208252"
"Mean Sale Price","2010M05","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","198352"
"Mean Sale Price","2010M06","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","201724"
"Mean Sale Price","2010M07","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","203592"
"Mean Sale Price","2010M08","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","196810"
"Mean Sale Price","2010M09","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","197551"
"Mean Sale Price","2010M10","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","191861"
"Mean Sale Price","2010M11","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","173412"
"Mean Sale Price","2010M12","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","163659"
"Mean Sale Price","2011M01","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","181066"
"Mean Sale Price","2011M02","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","170618"
"Mean Sale Price","2011M03","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","173543"
"Mean Sale Price","2011M04","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","165802"
"Mean Sale Price","2011M05","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","163618"
"Mean Sale Price","2011M06","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","161444"
"Mean Sale Price","2011M07","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","170313"
"Mean Sale Price","2011M08","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","166878"
"Mean Sale Price","2011M09","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","165849"
"Mean Sale Price","2011M10","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","157353"
"Mean Sale Price","2011M11","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","155405"
"Mean Sale Price","2011M12","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","144447"
"Mean Sale Price","2012M01","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","150942"
"Mean Sale Price","2012M02","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","147309"
"Mean Sale Price","2012M03","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","142062"
"Mean Sale Price","2012M04","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","145078"
"Mean Sale Price","2012M05","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","146826"
"Mean Sale Price","2012M06","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","150162"
"Mean Sale Price","2012M07","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","156132"
"Mean Sale Price","2012M08","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","173796"
"Mean Sale Price","2012M09","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","160875"
"Mean Sale Price","2012M10","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","152697"
"Mean Sale Price","2012M11","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","151062"
"Mean Sale Price","2012M12","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","166740"
"Mean Sale Price","2013M01","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","159450"
"Mean Sale Price","2013M02","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","145253"
"Mean Sale Price","2013M03","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","148339"
"Mean Sale Price","2013M04","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","154744"
"Mean Sale Price","2013M05","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","148075"
"Mean Sale Price","2013M06","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","169383"
"Mean Sale Price","2013M07","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","165333"
"Mean Sale Price","2013M08","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","175662"
"Mean Sale Price","2013M09","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","166772"
"Mean Sale Price","2013M10","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","169369"
"Mean Sale Price","2013M11","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","179935"
"Mean Sale Price","2013M12","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","195568"
"Mean Sale Price","2014M01","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","164686"
"Mean Sale Price","2014M02","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","169934"
"Mean Sale Price","2014M03","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","156656"
"Mean Sale Price","2014M04","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","160588"
"Mean Sale Price","2014M05","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","185230"
"Mean Sale Price","2014M06","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","179250"
"Mean Sale Price","2014M07","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","191641"
"Mean Sale Price","2014M08","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","207296"
"Mean Sale Price","2014M09","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","202322"
"Mean Sale Price","2014M10","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","200855"
"Mean Sale Price","2014M11","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","196444"
"Mean Sale Price","2014M12","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","194766"
"Mean Sale Price","2015M01","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","179790"
"Mean Sale Price","2015M02","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","188573"
"Mean Sale Price","2015M03","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","182162"
"Mean Sale Price","2015M04","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","181784"
"Mean Sale Price","2015M05","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","180670"
"Mean Sale Price","2015M06","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","190877"
"Mean Sale Price","2015M07","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","200573"
"Mean Sale Price","2015M08","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","215531"
"Mean Sale Price","2015M09","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","202000"
"Mean Sale Price","2015M10","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","196803"
"Mean Sale Price","2015M11","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","198756"
"Mean Sale Price","2015M12","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","204270"
"Mean Sale Price","2016M01","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","198515"
"Mean Sale Price","2016M02","All Counties","All Dwelling Statuses","Filings","All Buyer Types","All Sale Types","Euro","198645"
